a,3125,1
b,814,17
c,1100,11
d,1056,12
e,2978,2
f,503,20
g,756,18
h,914,15
i,1984,6
j,130,25
k,635,19
l,1796,7
m,995,13
n,1595,9
o,2055,4
p,971,14
q,68,26
r,2049,5
s,2511,3
t,1675,8
u,1234,10
v,370,22
w,429,21
x,168,23
y,886,16
z,150,24
