a,163
b,24
c,152
d,69
e,318
f,35
g,76
h,28
i,158
j,2
k,55
l,162
m,68
n,182
o,132
p,50
q,0
r,152
s,171
t,139
u,82
v,46
w,25
x,3
y,3
z,20
