a,64
b,11
c,31
d,118
e,424
f,26
g,41
h,139
i,11
j,0
k,113
l,156
m,42
n,130
o,58
p,56
q,0
r,212
s,36
t,253
u,1
v,0
w,17
x,8
y,364
z,4
