a,664,1
b,172,15
c,188,13
d,205,12
e,397,7
f,67,21
g,178,14
h,58,22
i,563,2
j,22,25
k,70,20
l,431,6
m,234,11
n,478,4
o,465,5
p,165,16
q,7,26
r,509,3
s,267,10
t,296,9
u,337,8
v,126,17
w,81,19
x,56,23
y,88,18
z,51,24
